ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1981-01-01,11055.515234999999,-21093.95930568495,4186.482206987148,11055.515234999999,11055.515234999999,-19444.683102174706,-19444.683102174706,-19444.683102174706,-19444.683102174706,-19444.683102174706,-19444.683102174706,0.0,0.0,0.0,-8389.167867174707
1982-01-01,12441.684972851419,-18822.645035553855,5512.327969386774,12441.684972851419,12441.684972851419,-19349.48289749988,-19349.48289749988,-19349.48289749988,-19349.48289749988,-19349.48289749988,-19349.48289749988,0.0,0.0,0.0,-6907.797924648463
1983-01-01,13827.854711757369,-16812.449771391704,7672.242476467774,13827.854711757369,13827.854711757369,-19007.5290278374,-19007.5290278374,-19007.5290278374,-19007.5290278374,-19007.5290278374,-19007.5290278374,0.0,0.0,0.0,-5179.674316080032
1984-01-01,15214.024450663317,-15390.180670318718,9268.686841420029,15214.024450663317,15214.024450663317,-18419.23947139442,-18419.23947139442,-18419.23947139442,-18419.23947139442,-18419.23947139442,-18419.23947139442,0.0,0.0,0.0,-3205.2150207311024
1985-01-01,16603.99191552106,-14857.712524862707,8868.890794360246,16603.99191552106,16603.99191552106,-19444.683102175157,-19444.683102175157,-19444.683102175157,-19444.683102175157,-19444.683102175157,-19444.683102175157,0.0,0.0,0.0,-2840.6911866540977
1986-01-01,17990.16165544098,-14025.44327975717,11712.40280251738,17990.16165544098,17990.16165544098,-19349.48289749949,-19349.48289749949,-19349.48289749949,-19349.48289749949,-19349.48289749949,-19349.48289749949,0.0,0.0,0.0,-1359.3212420585078
1987-01-01,19376.33139574055,-12315.31676581494,12165.667902722795,19376.33139574055,19376.33139574055,-19007.52902783798,-19007.52902783798,-19007.52902783798,-19007.52902783798,-19007.52902783798,-19007.52902783798,0.0,0.0,0.0,368.80236790257186
1988-01-01,20762.501137057337,-8989.854155729829,14672.463347344501,20762.501137057337,20762.501137057337,-18419.239471395067,-18419.239471395067,-18419.239471395067,-18419.239471395067,-18419.239471395067,-18419.239471395067,0.0,0.0,0.0,2343.2616656622704
1989-01-01,22152.4686036928,-10048.354344777166,15087.486445794211,22152.4686036928,22152.4686036928,-19444.683102174764,-19444.683102174764,-19444.683102174764,-19444.683102174764,-19444.683102174764,-19444.683102174764,0.0,0.0,0.0,2707.7855015180357
1990-01-01,23538.638344555293,-8568.07082063912,16742.01355994282,23538.638344555293,23538.638344555293,-19349.482897499754,-19349.482897499754,-19349.482897499754,-19349.482897499754,-19349.482897499754,-19349.482897499754,0.0,0.0,0.0,4189.155447055538
1991-01-01,24924.808086442896,-5836.471877185126,17828.899947236747,24924.808086442896,24924.808086442896,-19007.529027836812,-19007.529027836812,-19007.529027836812,-19007.529027836812,-19007.529027836812,-19007.529027836812,0.0,0.0,0.0,5917.279058606084
1992-01-01,26310.977828633866,-4269.816522669898,20155.98436274099,26310.977828633866,26310.977828633866,-18419.239471395926,-18419.239471395926,-18419.239471395926,-18419.239471395926,-18419.239471395926,-18419.239471395926,0.0,0.0,0.0,7891.73835723794
1993-01-01,27700.9452961459,-3958.332007283739,20747.69501621088,27700.9452961459,27700.9452961459,-19444.683102174902,-19444.683102174902,-19444.683102174902,-19444.683102174902,-19444.683102174902,-19444.683102174902,0.0,0.0,0.0,8256.262193970997
1994-01-01,29087.115037854906,-3116.3879159110743,21873.72033807372,29087.115037854906,29087.115037854906,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,0.0,0.0,0.0,9737.63214035504
1995-01-01,30473.284779204965,-1378.5866871095357,23833.739485667073,30473.284779204965,30473.284779204965,-19007.529027836557,-19007.529027836557,-19007.529027836557,-19007.529027836557,-19007.529027836557,-19007.529027836557,0.0,0.0,0.0,11465.755751368408
1996-01-01,31859.458175743686,1444.1413000915638,25111.037455215846,31859.458175743686,31859.458175743686,-18419.23947139563,-18419.23947139563,-18419.23947139563,-18419.23947139563,-18419.23947139563,-18419.23947139563,0.0,0.0,0.0,13440.218704348055
1997-01-01,33249.43036614653,1368.4081840953702,25257.898240348735,33249.43036614653,33249.43036614653,-19444.68310217506,-19444.68310217506,-19444.68310217506,-19444.68310217506,-19444.68310217506,-19444.68310217506,0.0,0.0,0.0,13804.747263971472
1998-01-01,34635.604818324224,3432.1127281514455,28350.553315882073,34635.604818324224,34635.604818324224,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,-19349.482897499867,0.0,0.0,0.0,15286.121920824356
1999-01-01,36021.790207000064,5043.677176065036,29512.494578100745,36021.790207000064,36021.790207000064,-19007.529027837292,-19007.529027837292,-19007.529027837292,-19007.529027837292,-19007.529027837292,-19007.529027837292,0.0,0.0,0.0,17014.26117916277
2000-01-01,37408.309518723174,6200.161232132731,30939.278732367744,37408.309518723174,37408.309518723174,-18419.239471391065,-18419.239471391065,-18419.239471391065,-18419.239471391065,-18419.239471391065,-18419.239471391065,0.0,0.0,0.0,18989.07004733211
2001-01-01,38798.64507097423,7159.663736147411,31835.611424829865,38798.64507097423,38798.64507097423,-19444.683102175706,-19444.683102175706,-19444.683102175706,-19444.683102175706,-19444.683102175706,-19444.683102175706,0.0,0.0,0.0,19353.96196879852
